author2pub_id,author_id,publication_id
1,1,200020
2,2,200020
3,3,200005
4,4,200020
5,5,200020
6,6,200020
7,7,200020
8,8,200020
9,9,200020
10,10,200020
11,11,200020
12,12,200020
13,13,200020
14,14,200020
15,15,200020
16,16,200020
17,17,200020
18,18,200020
19,19,200020
20,20,200020
21,21,200020
22,22,200020
23,23,200001
24,24,200020
25,25,200020
26,26,200020
27,27,200020
28,28,200020
29,29,200020
30,30,200020
31,31,200020
32,32,200020
33,33,200020
34,34,200020
35,35,200020
36,36,200020
37,37,200020
38,38,200020
39,39,200020
40,40,200020
41,41,200020
42,42,200001
43,43,200020
44,44,200020
45,45,200020
46,46,200020
47,47,200020
48,48,200020
49,49,200020
50,50,200020
51,51,200020
52,52,200020
53,53,200031
54,54,200031
55,55,200020
56,56,200020
57,57,200020
58,58,200020
59,59,200048
60,60,200020
61,61,200020
62,62,200020
63,63,200020
64,64,200020
65,65,200020
66,66,200020
67,67,200020
68,68,200020
69,69,200020
70,70,200020
71,71,200020
72,72,200043
73,73,200020
74,74,200020
75,75,200017
76,76,200017
77,77,200020
78,78,200020
79,79,200020
80,80,200020
81,81,200020
82,82,200020
83,83,200020
84,84,200020
85,85,200020
86,86,200020
87,87,200004
88,88,200020
89,89,200020
90,90,200020
91,91,200021
92,92,200020
93,93,200020
94,94,200020
95,95,200020
96,96,200020
97,97,200020
98,98,200020
99,99,200016
100,100,200009
101,101,200020
102,102,200020
103,103,200020
104,104,200020
105,105,200020
106,106,200020
107,107,200020
108,108,200020
109,109,200029
110,110,200020
111,111,200020
112,112,200012
113,112,200013
114,113,200013
115,114,200048
116,115,200020
117,116,200020
118,117,200048
119,118,200020
120,119,200020
121,120,200020
122,121,200020
123,122,200020
124,123,200007
125,124,200020
126,125,200020
127,126,200020
128,127,200020
129,128,200020
130,129,200020
131,130,200044
132,131,200020
133,132,200020
134,133,200046
135,134,200046
136,135,200020
137,136,200020
138,137,200011
139,138,200020
140,139,200020
141,140,200020
142,141,200030
143,142,200030
144,143,200020
145,144,200020
146,145,200020
147,146,200020
148,147,200020
149,148,200020
150,149,200020
151,150,200020
152,151,200020
153,152,200020
154,153,200026
155,154,200011
156,155,200020
157,156,200020
158,157,200029
159,158,200020
160,159,200020
161,160,200017
162,161,200020
163,162,200020
164,163,200020
165,164,200020
166,165,200020
167,166,200020
168,167,200044
169,168,200020
170,169,200020
171,170,200020
172,171,200020
173,172,200020
174,173,200020
175,174,200020
176,175,200020
177,176,200020
178,177,200020
179,178,200020
180,179,200045
181,180,200020
182,181,200020
183,182,200020
184,183,200020
185,184,200020
186,185,200020
187,186,200032
188,187,200009
189,188,200009
190,189,200020
191,190,200020
192,191,200020
193,192,200027
194,193,200027
195,194,200020
196,195,200020
197,196,200020
198,197,200020
199,198,200020
200,199,200020
201,200,200020
202,201,200020
203,202,200020
204,203,200020
205,204,200020
206,205,200020
207,206,200020
208,207,200020
209,208,200020
210,209,200020
211,210,200020
212,211,200028
213,212,200020
214,213,200020
215,214,200020
216,215,200027
217,216,200014
218,217,200020
219,218,200020
220,219,200020
221,220,200020
222,221,200020
223,222,200020
224,223,200020
225,224,200020
226,225,200020
227,226,200020
228,227,200020
229,228,200020
230,229,200020
231,230,200020
232,231,200020
233,232,200020
234,233,200020
235,234,200020
236,235,200020
237,236,200027
238,237,200020
239,238,200043
240,239,200041
241,240,200020
242,241,200047
243,241,200050
244,242,200020
245,243,200020
246,244,200020
247,245,200020
248,246,200045
249,247,200020
250,248,200020
251,249,200020
252,250,200020
253,251,200018
254,252,200030
255,253,200020
256,254,200020
257,255,200044
258,256,200020
259,257,200020
260,258,200009
261,259,200020
262,260,200020
263,261,200020
264,262,200020
265,263,200020
266,264,200048
267,265,200020
268,266,200020
269,267,200046
270,268,200024
271,269,200020
272,270,200020
273,271,200020
274,272,200033
275,272,200035
276,272,200037
277,272,200038
278,273,200020
279,274,200020
280,275,200020
281,276,200020
282,277,200044
283,278,200020
284,279,200016
285,280,200009
286,281,200020
287,282,200020
288,283,200020
289,284,200020
290,285,200020
291,286,200020
292,287,200020
293,288,200020
294,289,200020
295,290,200020
296,291,200020
297,292,200020
298,293,200020
299,294,200020
300,295,200045
301,296,200020
302,297,200020
303,298,200020
304,299,200027
305,300,200020
306,301,200020
307,302,200020
308,303,200020
309,304,200020
310,305,200020
311,306,200020
312,307,200020
313,308,200020
314,309,200020
315,310,200020
316,311,200020
317,312,200020
318,313,200019
319,314,200047
320,314,200050
321,315,200024
322,316,200020
323,317,200020
324,318,200020
325,319,200020
326,320,200020
327,321,200020
328,322,200020
329,323,200020
330,324,200020
331,325,200020
332,326,200020
333,327,200020
334,328,200020
335,329,200020
336,330,200020
337,331,200020
338,332,200020
339,333,200020
340,334,200006
341,335,200020
342,336,200020
343,337,200020
344,338,200020
345,339,200020
346,340,200020
347,341,200020
348,342,200043
349,343,200020
350,344,200020
351,345,200020
352,346,200016
353,347,200016
354,348,200042
355,349,200020
356,350,200020
357,351,200020
358,352,200020
359,353,200020
360,354,200020
361,355,200020
362,356,200020
363,357,200020
364,358,200020
365,359,200023
366,360,200020
367,361,200020
368,362,200020
369,363,200020
370,364,200020
371,365,200020
372,366,200020
373,367,200020
374,368,200020
375,369,200020
376,370,200020
377,371,200020
378,372,200020
379,373,200020
380,374,200020
381,375,200020
382,376,200022
383,377,200020
384,378,200033
385,378,200035
386,378,200037
387,379,200020
388,380,200020
389,381,200020
390,382,200020
391,383,200020
392,384,200020
393,385,200020
394,386,200020
395,387,200020
396,388,200020
397,389,200020
398,390,200020
399,391,200020
400,392,200020
401,393,200020
402,394,200020
403,395,200020
404,396,200009
405,397,200020
406,398,200048
407,399,200020
408,400,200020
409,401,200020
410,402,200048
411,403,200017
412,404,200021
413,405,200020
414,406,200020
415,407,200025
416,408,200020
417,409,200020
418,410,200020
419,411,200020
420,412,200020
421,413,200020
422,414,200020
423,415,200020
424,416,200020
425,417,200020
426,418,200020
427,419,200020
428,420,200009
429,421,200001
430,422,200001
431,423,200025
432,424,200020
433,425,200020
434,426,200020
435,427,200020
436,428,200020
437,429,200020
438,430,200020
439,431,200020
440,432,200020
441,433,200020
442,434,200020
443,435,200049
444,436,200020
445,437,200020
446,438,200020
447,439,200034
448,440,200020
449,441,200020
450,442,200039
451,443,200020
452,444,200020
453,445,200020
454,446,200010
455,447,200020
456,448,200020
457,449,200020
458,450,200020
459,451,200020
460,452,200020
461,453,200020
462,454,200003
463,455,200020
464,456,200020
465,457,200020
466,458,200020
467,459,200020
468,460,200020
469,461,200020
470,462,200020
471,463,200020
472,464,200020
473,465,200020
474,466,200020
475,467,200020
476,468,200020
477,469,200020
478,470,200020
479,471,200020
480,472,200046
481,473,200020
482,474,200020
483,475,200020
484,476,200020
485,477,200020
486,478,200020
487,479,200048
488,480,200020
489,481,200020
490,482,200020
491,483,200020
492,484,200006
493,485,200040
494,486,200020
495,487,200020
496,488,200017
497,489,200020
498,490,200020
499,491,200020
500,492,200020
501,493,200020
502,494,200020
503,495,200020
504,496,200044
505,497,200020
506,498,200020
507,499,200020
508,500,200020
509,501,200020
510,502,200020
511,503,200009
512,504,200020
513,505,200020
514,506,200020
515,507,200020
516,508,200020
517,509,200020
518,510,200020
519,511,200020
520,512,200020
521,513,200020
522,514,200039
523,515,200020
524,516,200020
525,517,200048
526,518,200020
527,519,200020
528,520,200020
529,521,200020
530,522,200020
531,523,200020
532,524,200020
533,525,200020
534,526,200020
535,527,200020
536,528,200020
537,529,200020
538,530,200020
539,531,200020
540,532,200020
541,533,200020
542,534,200020
543,535,200020
544,536,200020
545,537,200044
546,538,200020
547,539,200020
548,540,200020
549,541,200020
550,542,200020
551,543,200020
552,544,200020
553,545,200020
554,546,200020
555,547,200020
556,548,200020
557,549,200020
558,550,200020
559,551,200020
560,552,200020
561,553,200020
562,554,200020
563,555,200020
564,556,200020
565,557,200024
566,558,200020
567,559,200020
568,560,200020
569,561,200029
570,562,200020
571,563,200020
572,564,200020
573,565,200020
574,566,200020
575,567,200020
576,568,200020
577,569,200020
578,570,200020
579,571,200020
580,572,200020
581,573,200020
582,574,200023
583,575,200020
584,576,200036
585,577,200020
586,578,200020
587,579,200020
588,580,200020
589,581,200015
590,582,200020
591,583,200020
592,584,200020
593,585,200020
594,586,200002
595,587,200048
596,588,200020
597,589,200020
598,590,200020
599,591,200020
600,592,200020
601,593,200020
602,594,200020
603,595,200020
604,596,200020
605,597,200020
606,598,200020
607,599,200008
608,600,200020
609,601,200020
610,602,200044
611,603,200020
612,604,200020
613,605,200020
614,606,200020
615,607,200020
616,608,200002
617,609,200020
618,610,200020
619,611,200020
620,612,200020
621,613,200020
622,614,200021
623,615,200048
624,616,200020
625,617,200032
626,618,200016
627,619,200005
628,620,200020
629,621,200020
630,622,200020
631,623,200020
632,624,200020
633,625,200048
634,626,200020
635,627,200032
636,628,200020
637,629,200020
638,630,200020
639,631,200020
640,632,200048
641,633,200048
642,634,200020
643,635,200020
644,636,200020
645,637,200020
646,638,200020
647,639,200020
648,640,200007
649,641,200007
650,642,200020
651,643,200020
652,644,200020
653,645,200020
654,646,200020
655,647,200020
656,648,200020
657,649,200036
658,650,200016
659,651,200020
660,652,200017
661,653,200020
662,654,200020
663,655,200020
664,656,200020
665,657,200023
666,658,200022
667,659,200020
668,660,200020
669,661,200020
670,662,200020
671,663,200020
672,664,200020
673,665,200020
674,666,200020
675,667,200020
676,668,200020
677,669,200048
678,670,200020
679,671,200020
680,672,200017
681,673,200020
682,674,200020
683,675,200020
684,676,200020
685,677,200020
686,678,200020
687,679,200016
688,680,200020
689,681,200020
690,682,200020
691,683,200020
692,684,200020
693,685,200020
694,686,200020
695,687,200020
696,688,200001
697,689,200016
698,690,200033
699,690,200035
700,690,200037
701,690,200038
702,691,200020
703,692,200020
704,693,200007
705,694,200020
706,695,200020
707,696,200020
708,697,200020
709,698,200020
710,699,200020
711,700,200020
